subject,component,adf_pval,adf_stationary,kpss_pval,kpss_stationary
apples-160217_R,cca_corr1,0.0361779874928892,True,0.06101865568812407,True
apples-160217_R,cca_corr2,4.7062133005434604e-18,True,0.04704460805183294,False
apples-140073_W,cca_corr1,5.4299686969014075e-09,True,0.02290693267678984,False
apples-140073_W,cca_corr2,3.1767917359356367e-18,True,0.01921254270751097,False
apples-170368_R,cca_corr1,1.1926279507819668e-19,True,0.1,True
apples-170368_R,cca_corr2,0.049892548597803635,True,0.01,False
apples-140007_N2,cca_corr1,0.0022737643884189907,True,0.08407477657534262,True
apples-140007_N2,cca_corr2,0.0004487463358517281,True,0.01,False
apples-240090_N2,cca_corr1,1.6009186704398454e-05,True,0.1,True
apples-240090_N2,cca_corr2,0.001556883920090842,True,0.01,False
apples-140004_N1,cca_corr1,0.03076344835637766,True,0.1,True
apples-140004_N1,cca_corr2,1.2955837494811922e-07,True,0.06683140588289815,True
apples-150142_R,cca_corr1,7.717135280489649e-12,True,0.1,True
apples-150142_R,cca_corr2,0.0009406784581942183,True,0.04302473688068644,False
apples-140075_N1,cca_corr1,0.012313058814626774,True,0.022301792789638487,False
apples-140075_N1,cca_corr2,4.6171331814586367e-07,True,0.01,False
apples-160287_N3,cca_corr1,0.7574770618607358,False,0.1,True
apples-160287_N3,cca_corr2,0.6615613318861815,False,0.0415679870488805,False
apples-160290_N2,cca_corr1,6.626507844170489e-05,True,0.01,False
apples-160290_N2,cca_corr2,0.0051033777780365944,True,0.01,False
apples-170366_N1,cca_corr1,0.17379785681950366,False,0.07943734516377415,True
apples-170366_N1,cca_corr2,0.8757956650673888,False,0.1,True
apples-170368_N1,cca_corr1,5.711930440485653e-13,True,0.1,True
apples-170368_N1,cca_corr2,0.02580027409850939,True,0.1,True
apples-240021_W,cca_corr1,8.71978149757716e-09,True,0.1,True
apples-240021_W,cca_corr2,0.004624898197873953,True,0.018278880194802352,False
apples-170366_N3,cca_corr1,1.2445444117238562e-16,True,0.1,True
apples-170366_N3,cca_corr2,8.481252637736755e-11,True,0.01,False
apples-140012_N3,cca_corr1,0.06004296422266117,False,0.1,True
apples-140012_N3,cca_corr2,3.043906731201714e-06,True,0.1,True
apples-240091_N2,cca_corr1,0.010451636995809942,True,0.01,False
apples-240091_N2,cca_corr2,0.004209732173152977,True,0.01,False
apples-240023_R,cca_corr1,5.693643530401239e-12,True,0.1,True
apples-240023_R,cca_corr2,0.0031192568370500117,True,0.0476797364318392,False
apples-170369_N2,cca_corr1,4.1012197120543886e-16,True,0.1,True
apples-170369_N2,cca_corr2,2.0058584603001317e-16,True,0.1,True
apples-140007_R,cca_corr1,0.0013387841686248422,True,0.1,True
apples-140007_R,cca_corr2,6.216899915868122e-15,True,0.1,True
apples-240022_W,cca_corr1,4.8167931856299657e-14,True,0.1,True
apples-240022_W,cca_corr2,0.0016501196764872033,True,0.1,True
apples-140073_N1,cca_corr1,1.0578378606347595e-15,True,0.1,True
apples-140073_N1,cca_corr2,6.677806524193685e-06,True,0.1,True
apples-150141_N1,cca_corr1,0.04193904186653606,True,0.01,False
apples-150141_N1,cca_corr2,0.014834270080464288,True,0.01,False
apples-160215_R,cca_corr1,1.1327014389705123e-17,True,0.01,False
apples-160215_R,cca_corr2,0.006525205507904871,True,0.1,True
apples-160287_R,cca_corr1,6.734557150941921e-17,True,0.1,True
apples-160287_R,cca_corr2,7.481095904548479e-18,True,0.1,True
apples-170369_N1,cca_corr1,1.8602394191263658e-05,True,0.1,True
apples-170369_N1,cca_corr2,0.002205649209498694,True,0.1,True
apples-170368_W,cca_corr1,9.260057642386844e-12,True,0.1,True
apples-170368_W,cca_corr2,0.0024131706566355568,True,0.1,True
apples-170368_N3,cca_corr1,1.8044365698322003e-23,True,0.1,True
apples-170368_N3,cca_corr2,5.85601140254852e-06,True,0.010737387035903092,False
apples-240022_R,cca_corr1,1.4611414088155125e-17,True,0.0327369701052692,False
apples-240022_R,cca_corr2,3.2438066496629074e-14,True,0.1,True
apples-140074_N2,cca_corr1,0.01645039194524671,True,0.01,False
apples-140074_N2,cca_corr2,3.5044646071709363e-07,True,0.1,True
apples-160287_W,cca_corr1,0.3114026678907995,False,0.015973509505049922,False
apples-160287_W,cca_corr2,0.11128548094661389,False,0.03929146210168359,False
apples-240091_R,cca_corr1,0.00012711032094713412,True,0.1,True
apples-240091_R,cca_corr2,0.01343321951844539,True,0.1,True
apples-160219_N2,cca_corr1,3.376553829352453e-06,True,0.022256325268378487,False
apples-160219_N2,cca_corr2,0.002827537419315804,True,0.1,True
apples-150141_W,cca_corr1,0.1362787830296509,False,0.01,False
apples-150141_W,cca_corr2,0.0008919324236097808,True,0.01,False
apples-160287_N1,cca_corr1,0.0003528549446174211,True,0.1,True
apples-160287_N1,cca_corr2,0.0065878304810191345,True,0.06782179759527728,True
apples-140074_N3,cca_corr1,1.008036602357538e-05,True,0.1,True
apples-140074_N3,cca_corr2,3.94744675821854e-09,True,0.1,True
apples-240089_R,cca_corr1,6.293549105705197e-07,True,0.08953355502177945,True
apples-240089_R,cca_corr2,4.4961078871352035e-15,True,0.1,True
apples-160215_W,cca_corr1,0.011869462895570383,True,0.024956517022934655,False
apples-160215_W,cca_corr2,0.0019429958967462993,True,0.01,False
apples-150141_N2,cca_corr1,0.4820608388999832,False,0.01,False
apples-150141_N2,cca_corr2,0.0014630716553314662,True,0.1,True
apples-240023_N2,cca_corr1,2.739579736787706e-05,True,0.1,True
apples-240023_N2,cca_corr2,1.9285331286151498e-06,True,0.1,True
apples-160217_W,cca_corr1,2.5368525338926118e-15,True,0.1,True
apples-160217_W,cca_corr2,0.000968638648466536,True,0.1,True
apples-150140_N1,cca_corr1,0.00475156223420936,True,0.05259530540066706,True
apples-150140_N1,cca_corr2,2.0111938861198235e-08,True,0.1,True
apples-160288_N2,cca_corr1,9.076065280969245e-06,True,0.01,False
apples-160288_N2,cca_corr2,1.3976185215617454e-05,True,0.1,True
apples-130001_N1,cca_corr1,0.001369319838758574,True,0.1,True
apples-130001_N1,cca_corr2,2.11864674225887e-10,True,0.021103696685613214,False
apples-240089_N2,cca_corr1,1.983440564115201e-05,True,0.0214384071802348,False
apples-240089_N2,cca_corr2,0.0,True,0.1,True
apples-140003_N1,cca_corr1,7.986930230230011e-16,True,0.1,True
apples-140003_N1,cca_corr2,9.864426675810181e-20,True,0.05812418043664177,True
apples-170366_N2,cca_corr1,9.818320561502475e-30,True,0.1,True
apples-170366_N2,cca_corr2,3.1075681239766286e-13,True,0.1,True
apples-140003_R,cca_corr1,1.1495692477070409e-17,True,0.1,True
apples-140003_R,cca_corr2,2.228172594695499e-06,True,0.1,True
apples-140075_N2,cca_corr1,2.9753289553469745e-07,True,0.07604243377843524,True
apples-140075_N2,cca_corr2,0.011331950152872954,True,0.035346159039371564,False
apples-240089_W,cca_corr1,0.010861397780288502,True,0.01,False
apples-240089_W,cca_corr2,6.3975348212472936e-15,True,0.1,True
apples-140004_R,cca_corr1,1.2553551201907462e-11,True,0.1,True
apples-140004_R,cca_corr2,1.4914562472003521e-12,True,0.1,True
apples-140009_W,cca_corr1,1.8545943264495177e-10,True,0.1,True
apples-140009_W,cca_corr2,3.88068131496463e-05,True,0.1,True
apples-140012_N1,cca_corr1,0.0021927249442606086,True,0.1,True
apples-140012_N1,cca_corr2,0.0068893922882730324,True,0.1,True
apples-160219_R,cca_corr1,0.09416949263757435,False,0.1,True
apples-160219_R,cca_corr2,2.0981233919006443e-19,True,0.05211747532481382,True
apples-240023_N1,cca_corr1,1.321769269456417e-15,True,0.1,True
apples-240023_N1,cca_corr2,3.9658014377364515e-19,True,0.1,True
apples-140074_W,cca_corr1,1.4904380661595603e-16,True,0.021655550433062744,False
apples-140074_W,cca_corr2,4.59614420834112e-08,True,0.1,True
apples-130001_R,cca_corr1,0.0002062544708396536,True,0.1,True
apples-130001_R,cca_corr2,0.00017743158514429012,True,0.1,True
apples-160219_N1,cca_corr1,0.08406100050942072,False,0.01,False
apples-160219_N1,cca_corr2,8.63648311322882e-05,True,0.02046149586478032,False
apples-160217_N2,cca_corr1,0.0001756867809968522,True,0.1,True
apples-160217_N2,cca_corr2,0.08711496150185793,False,0.010937035852158168,False
apples-240021_N1,cca_corr1,3.183660930467232e-09,True,0.1,True
apples-240021_N1,cca_corr2,4.317854607943521e-08,True,0.1,True
apples-170368_N2,cca_corr1,1.655480111878367e-11,True,0.1,True
apples-170368_N2,cca_corr2,2.027328691631925e-30,True,0.1,True
apples-240021_R,cca_corr1,8.337638097963762e-21,True,0.04036515734131141,False
apples-240021_R,cca_corr2,3.5300410219746996e-19,True,0.057755739274107896,True
apples-130001_N2,cca_corr1,6.153829062451246e-07,True,0.1,True
apples-130001_N2,cca_corr2,1.559682517315121e-06,True,0.01,False
apples-160288_W,cca_corr1,0.1465829968422634,False,0.01,False
apples-160288_W,cca_corr2,0.052432009203017646,False,0.01,False
apples-150141_N3,cca_corr1,0.751307561852944,False,0.08882209029816245,True
apples-150141_N3,cca_corr2,0.6651776416961288,False,0.1,True
apples-160290_R,cca_corr1,5.283451868877211e-13,True,0.08210428770937929,True
apples-160290_R,cca_corr2,3.1393183729061774e-07,True,0.01,False
apples-140011_R,cca_corr1,8.688740434781463e-13,True,0.08065252757107877,True
apples-140011_R,cca_corr2,4.893040030596316e-15,True,0.1,True
apples-140011_N2,cca_corr1,0.014217804056039127,True,0.07115862551828728,True
apples-140011_N2,cca_corr2,0.0025296960155032134,True,0.02822360528372327,False
apples-140009_R,cca_corr1,2.1310848426105584e-18,True,0.04490238173008389,False
apples-140009_R,cca_corr2,1.0128151397171378e-18,True,0.1,True
apples-240090_N3,cca_corr1,1.0,False,0.04813530441537599,False
apples-240090_N3,cca_corr2,0.480428542241946,False,0.04199395292951535,False
apples-150142_N2,cca_corr1,3.138455982935603e-05,True,0.1,True
apples-150142_N2,cca_corr2,3.2484999810755635e-06,True,0.1,True
apples-140004_W,cca_corr1,8.587481756979839e-12,True,0.1,True
apples-140004_W,cca_corr2,6.276023836508207e-14,True,0.1,True
apples-160215_N1,cca_corr1,0.00015534509035638122,True,0.1,True
apples-160215_N1,cca_corr2,2.4878907610197212e-06,True,0.1,True
apples-170369_R,cca_corr1,3.444674551099996e-06,True,0.048388911029410626,False
apples-170369_R,cca_corr2,2.5741974650649542e-17,True,0.1,True
apples-240089_N1,cca_corr1,0.00027546701064118075,True,0.01,False
apples-240089_N1,cca_corr2,0.00040107915551570425,True,0.010875259750691329,False
apples-240090_W,cca_corr1,0.028959798986735112,True,0.021617040641624053,False
apples-240090_W,cca_corr2,0.003318931161338717,True,0.1,True
apples-140008_N2,cca_corr1,0.00013383644497264673,True,0.08945711186412765,True
apples-140008_N2,cca_corr2,9.611305615343292e-08,True,0.1,True
apples-240090_N1,cca_corr1,0.00013636242856328318,True,0.07626130230099214,True
apples-240090_N1,cca_corr2,0.0033744043179136075,True,0.01,False
apples-240091_W,cca_corr1,5.267292754365806e-05,True,0.1,True
apples-240091_W,cca_corr2,2.614651335011551e-07,True,0.1,True
apples-170369_W,cca_corr1,4.974457508545011e-05,True,0.01,False
apples-170369_W,cca_corr2,0.26532340982155717,False,0.01,False
apples-140004_N2,cca_corr1,0.041940615007770465,True,0.01,False
apples-140004_N2,cca_corr2,0.00019742269553130984,True,0.023989992210772075,False
apples-140012_R,cca_corr1,0.35382756316708736,False,0.01,False
apples-140012_R,cca_corr2,0.08391455167601791,False,0.01,False
apples-160288_N1,cca_corr1,3.220554618467324e-05,True,0.04354933038171722,False
apples-160288_N1,cca_corr2,1.0181672657329866e-05,True,0.08792664111544012,True
apples-150140_N3,cca_corr1,0.5775287447217486,False,0.01,False
apples-150140_N3,cca_corr2,2.4865060718188184e-09,True,0.1,True
apples-170369_N3,cca_corr1,2.1292941598841767e-14,True,0.1,True
apples-170369_N3,cca_corr2,3.2771477533922455e-05,True,0.1,True
apples-150140_W,cca_corr1,0.008078677666118727,True,0.05817905588278687,True
apples-150140_W,cca_corr2,0.0012595804416130258,True,0.01,False
apples-140007_N1,cca_corr1,0.004515080770269596,True,0.1,True
apples-140007_N1,cca_corr2,0.0790245079955062,False,0.1,True
apples-240021_N3,cca_corr1,0.02268040818632973,True,0.01,False
apples-240021_N3,cca_corr2,1.6817852260428503e-14,True,0.1,True
apples-150142_W,cca_corr1,0.0015922653545378405,True,0.1,True
apples-150142_W,cca_corr2,0.003605683892753156,True,0.1,True
apples-140074_N1,cca_corr1,1.2440378669668962e-06,True,0.1,True
apples-140074_N1,cca_corr2,0.00027248210114329957,True,0.1,True
apples-240022_N1,cca_corr1,3.1924282620407275e-20,True,0.1,True
apples-240022_N1,cca_corr2,5.677830700583478e-21,True,0.1,True
apples-140008_R,cca_corr1,6.990707104690548e-17,True,0.01,False
apples-140008_R,cca_corr2,0.38746331825396296,False,0.020270918419953966,False
apples-140073_N2,cca_corr1,4.570016410643101e-29,True,0.01,False
apples-140073_N2,cca_corr2,2.0736654552102754e-30,True,0.1,True
apples-160219_N3,cca_corr1,4.430074471025228e-13,True,0.1,True
apples-160219_N3,cca_corr2,2.995250132190955e-14,True,0.1,True
apples-150141_R,cca_corr1,0.1109415582848452,False,0.01,False
apples-150141_R,cca_corr2,0.2269334818534824,False,0.01,False
apples-240022_N3,cca_corr1,0.9826369208921552,False,0.01,False
apples-240022_N3,cca_corr2,0.2927581790385304,False,0.1,True
apples-240090_R,cca_corr1,1.5863250268820353e-13,True,0.1,True
apples-240090_R,cca_corr2,1.2821509352634602e-13,True,0.1,True
apples-140011_N1,cca_corr1,2.132914183683178e-13,True,0.01,False
apples-140011_N1,cca_corr2,1.297962906928732e-09,True,0.021675896748289958,False
apples-170366_R,cca_corr1,1.0484032450262456e-18,True,0.1,True
apples-170366_R,cca_corr2,6.132905907608133e-23,True,0.1,True
apples-160290_N1,cca_corr1,3.871501875495837e-14,True,0.1,True
apples-160290_N1,cca_corr2,0.0006652446964578972,True,0.1,True
apples-170366_W,cca_corr1,1.7453777994741083e-09,True,0.1,True
apples-170366_W,cca_corr2,0.11397624719857458,False,0.01,False
apples-140003_N2,cca_corr1,0.009530110287215473,True,0.01,False
apples-140003_N2,cca_corr2,0.054841823404842276,False,0.01,False
apples-140011_W,cca_corr1,1.302106779389401e-16,True,0.06481907941982931,True
apples-140011_W,cca_corr2,1.8544500583343864e-12,True,0.01,False
apples-240023_W,cca_corr1,1.4523831429967772e-08,True,0.1,True
apples-240023_W,cca_corr2,8.968859532927694e-15,True,0.1,True
apples-160288_R,cca_corr1,0.10211309687355452,False,0.01,False
apples-160288_R,cca_corr2,8.59393082915577e-08,True,0.08973960773368335,True
apples-150142_N1,cca_corr1,1.6323505749435505e-11,True,0.042955678356114003,False
apples-150142_N1,cca_corr2,1.0669463788846112e-11,True,0.1,True
apples-140008_W,cca_corr1,1.488883328935278e-06,True,0.08807164886912479,True
apples-140008_W,cca_corr2,6.162621385975764e-10,True,0.1,True
apples-140012_W,cca_corr1,1.0409898805234157e-17,True,0.1,True
apples-140012_W,cca_corr2,1.5057082068686923e-14,True,0.1,True
apples-150140_N2,cca_corr1,0.00027010454030512623,True,0.04214013075607703,False
apples-150140_N2,cca_corr2,7.484594812077827e-07,True,0.1,True
apples-240021_N2,cca_corr1,8.625825019008136e-06,True,0.1,True
apples-240021_N2,cca_corr2,4.637162273792851e-06,True,0.05834527754359292,True
apples-160217_N1,cca_corr1,0.011807050240059567,True,0.08282886136233819,True
apples-160217_N1,cca_corr2,0.006144502488640159,True,0.1,True
apples-140073_N3,cca_corr1,5.51936823504315e-10,True,0.1,True
apples-140073_N3,cca_corr2,3.264272349265673e-18,True,0.026015869577506984,False
apples-160290_W,cca_corr1,0.8740806033276227,False,0.01,False
apples-160290_W,cca_corr2,0.05040736917252993,False,0.04104352941998176,False
apples-140009_N1,cca_corr1,0.3488764422920273,False,0.01,False
apples-140009_N1,cca_corr2,0.003858158732892405,True,0.01,False
apples-140075_R,cca_corr1,1.9728415538983156e-12,True,0.1,True
apples-140075_R,cca_corr2,0.00047737178708036067,True,0.03565570954000527,False
apples-140011_N3,cca_corr1,0.04640161749988046,True,0.07788129136620645,True
apples-140011_N3,cca_corr2,1.0,False,0.1,True
apples-140007_W,cca_corr1,1.733044812041363e-08,True,0.1,True
apples-140007_W,cca_corr2,0.04662892627267511,True,0.1,True
apples-140003_W,cca_corr1,3.934956161472169e-05,True,0.1,True
apples-140003_W,cca_corr2,0.0008239379790811597,True,0.1,True
apples-140008_N1,cca_corr1,2.5779366360360937e-07,True,0.012147089793640533,False
apples-140008_N1,cca_corr2,3.446694471781215e-13,True,0.02453322261247554,False
apples-140073_R,cca_corr1,8.268367124145716e-19,True,0.01,False
apples-140073_R,cca_corr2,0.03524303499537054,True,0.01,False
apples-140009_N2,cca_corr1,0.0008320267214584057,True,0.01,False
apples-140009_N2,cca_corr2,0.000150863594748985,True,0.01,False
apples-150140_R,cca_corr1,0.43578445454099746,False,0.01,False
apples-150140_R,cca_corr2,0.4157095683668702,False,0.01,False
apples-240022_N2,cca_corr1,0.023840507548145835,True,0.017596124396138255,False
apples-240022_N2,cca_corr2,0.0009758497845830332,True,0.01,False
apples-140007_N3,cca_corr1,2.986790351884328e-16,True,0.1,True
apples-140007_N3,cca_corr2,1.3271237402658273e-13,True,0.049827929842827204,False
apples-140012_N2,cca_corr1,7.816674953994523e-05,True,0.04098999229130215,False
apples-140012_N2,cca_corr2,0.0571818946145037,False,0.1,True
apples-160215_N2,cca_corr1,0.13212421529857798,False,0.06425144100587986,True
apples-160215_N2,cca_corr2,0.00014938904630301642,True,0.1,True
apples-240091_N1,cca_corr1,1.4839229355951572e-09,True,0.1,True
apples-240091_N1,cca_corr2,4.0873574445302787e-14,True,0.1,True
apples-130001_W,cca_corr1,3.6391825776520337e-10,True,0.03447147981117122,False
apples-130001_W,cca_corr2,0.0032936252605325436,True,0.1,True
apples-160219_W,cca_corr1,4.3566687249507746e-05,True,0.01,False
apples-160219_W,cca_corr2,1.5469146748271137e-09,True,0.016758107350102736,False
apples-140075_W,cca_corr1,0.07719522861030403,False,0.044575183593536,False
apples-140075_W,cca_corr2,2.655551187327223e-08,True,0.01,False
apples-240089_N3,cca_corr1,1.292991969875473e-25,True,0.0643439945470326,True
apples-240089_N3,cca_corr2,2.419023283334807e-07,True,0.1,True
apples-160287_N2,cca_corr1,6.629190852960217e-10,True,0.1,True
apples-160287_N2,cca_corr2,4.8645858192066205e-09,True,0.1,True
apples-140074_R,cca_corr1,0.00176838061824597,True,0.01,False
apples-140074_R,cca_corr2,6.31587568533821e-22,True,0.1,True
apples-140009_N3,cca_corr1,6.192812948908133e-05,True,0.04706753025924129,False
apples-140009_N3,cca_corr2,1.2849532303349995e-05,True,0.0937001363451091,True
